"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux","Matériau d'emballage"
"12112","12112","lait et produits laitiers","fromages","Abondance","Abondance cheese, from cow's milk","2",0,"Glacé","Pas de préparation",5,0.53606708,4.9830797,4.7845077e-8,0.57644073,0.010952812,5.4468634e-7,8.6957103e-8,2.2749559e-9,0.074981339,0.00049271369,0.018204558,0.31908472,45.017853,178.4429,0.66368498,32.429708,0.000012179005,"PACK AGB"
"11168","11168","aides culinaires et ingrédients divers","sauces","Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked","2",0,"Glacé","Pas de préparation",5,0.54796434,1.4369781,9.4393458e-7,0.80468562,0.011901559,2.702609e-7,1.8172903e-7,4.8777872e-9,0.036402346,0.00058758783,0.017843532,0.14883257,41.16699,512.37,19.147918,41.804863,0.000035672177,"PACK PROXY"
"26006","26006","viandes, œufs, poissons","poissons crus","Lieu ou colin d'Alaska, cru","Alaska pollock, raw","2",0,"Glacé","Pas de préparation",5,1.9688571000000001,12.188752,0.0000017640754,0.28003355,0.23912983,0.0000024713049,4.7505226e-8,5.4092627e-9,0.31970158,0.00052943654,0.078563124,0.85806833,12.058341,16.31433,0.39493123,161.74181,0.000065558231,"PACK PROXY"
"26152","26152","viandes, œufs, poissons","poissons cuits","Lieu ou colin d'Alaska, fumé","Alaska pollock, smoked","2",0,"Glacé","Pas de préparation",5,1.9655582,12.175313,0.0000017638183,0.23024889,0.23909588,0.00000247075,4.7148726e-8,5.4028163e-9,0.3196372,0.00052485757,0.078549585,0.85796559,12.003892,16.251565,0.39152082,160.62961,0.000065150647,"PACK PROXY"
"26179","26179","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté","Albacore, in olive oil, canned, drained","2",0,"Ambiant (long)","Pas de préparation",5,1.7204922,9.9544817,3.0881245e-7,1.1473412,0.18017406,0.0000019798854,1.3389395e-7,1.1494029e-8,0.2523893,0.00077538958,0.066497071,0.69993636,25.723008,293.17582,11.334169,150.04028,0.000026030631,"PACK AGB"
"26076","26076","viandes, œufs, poissons","poissons crus","Thon germon ou thon blanc, cru","Albacore, raw","2",0,"Glacé","Pas de préparation",5,1.5620645,9.4899756,0.0000016943765,0.25112575,0.18997509,0.0000019621315,3.6619336e-8,4.1881834e-9,0.25454639,0.00035922784,0.062495765,0.68239954,8.4537606,11.955942,0.26181055,126.71945,0.00005747009,"PACK PROXY"
"26077","26077","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Thon germon ou thon blanc, cuit à la vapeur sous pression","Albacore, steamed under pressure","2",0,"Glacé","Four",5,1.9587625,11.797847,0.0000024112274,0.82932201,0.23268181,0.0000024052901,4.9308064e-8,5.2070352e-9,0.31181695,0.00050527651,0.076520172,0.83496892,11.137916,15.558885,0.37320653,168.05008,0.00008292289,"PACK PROXY"
"15029","15029","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Luzerne, graine germée","Alfalfa seeds, sprouted, raw","2",0,"Ambiant (long)","Pas de préparation",5,0.39560738,3.0437335,4.3216743e-8,0.26075154,0.0096008606,2.4619577e-7,5.9493395e-8,4.6522348e-9,0.034151974,0.001238007,0.024873818,0.1429252,25.87531,517.85434,1.3109581,25.877063,0.000013428055,"PACK PROXY"
"24664","24664","produits céréaliers","gâteaux et pâtisseries","Gâteau aux amandes type financier","Almond cake","2",0,"Ambiant (long)","Pas de préparation",5,0.88910294,3.9530961,7.3058623e-8,0.67749656,0.015493265,4.9595681e-7,2.7161727e-7,2.043799e-9,0.060042864,0.0007300593,0.020368624,0.24883947,67.882123,228.37951,44.545148,53.787728,0.000024745815,"PACK PROXY"
"18107","18107","boissons","boissons sans alcool","Boisson à l'amande","Almond drink not sweet, not fortified, prepacked","2",0,"Ambiant (long)","Pas de préparation",5,0.11992001000000001,0.33993838,1.1891291e-8,0.16231949,0.0020658204,5.1573776e-8,4.180804e-8,2.4391044e-10,0.0044851067,0.00013952814,0.0019056144,0.016047283,7.3456027,27.080658,7.5247024,9.352937,0.0000045837336,"PACK PROXY"
