material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Oats,3.166,ROAD,1365.2,HIGH,5.066,7.757,0.519,12.931,20,2,0
Beef,0.148,SEA,14763.3,MEDIUM,3.986,0.266,0.033,4.178,4,3,2
Lentils,0.939,SEA,7751.1,LOW,0.845,0.282,0.109,1.269,16,3,1
Butter,0.088,AIR,14658.8,HIGH,1.06,0.278,1.23,2.645,5,0,0
Wool,2.719,ROAD,89.1,LOW,28.282,1.904,0.029,31.472,34,2,1
Chicken,0.802,AIR,10895.0,LOW,5.536,0.401,8.304,14.915,7,0,1
Plastic,6.4,SEA,10865.9,LOW,22.399,5.12,1.043,29.095,22,3,1
Leather,2.118,ROAD,595.3,HIGH,36.012,14.828,0.151,45.995,15,2,0
Nuts,0.121,RAIL,3690.9,HIGH,0.278,0.296,0.011,0.554,19,1,0
Glass,4.232,RAIL,4253.8,LOW,3.809,2.539,0.45,7.701,13,1,1
Shrimp,27.355,RAIL,3113.8,MEDIUM,492.388,53.342,2.129,577.197,27,1,2
Oats,3.315,ROAD,2325.2,LOW,5.304,1.16,0.925,7.718,20,2,1
Wheat,2.454,SEA,5953.4,LOW,3.435,0.859,0.219,4.733,32,3,1
Lentils,5.155,SEA,13418.7,LOW,4.64,1.547,1.038,7.847,16,3,1
Chicken,2.89,SEA,8841.0,LOW,19.943,1.445,0.383,22.573,7,3,1
Turkey,1.022,SEA,5471.4,HIGH,11.138,3.577,0.084,14.754,31,3,0
Potatoes,0.645,ROAD,1642.5,LOW,0.323,0.161,0.127,0.624,25,2,1
Pork,1.278,SEA,18945.5,HIGH,15.466,4.921,0.363,20.307,24,3,0
Aluminum,0.278,ROAD,2655.7,HIGH,2.282,2.435,0.089,4.752,0,2,0
Wheat,3.931,SEA,14715.4,LOW,5.503,1.376,0.868,7.648,32,3,1
Pork,0.068,SEA,6798.0,MEDIUM,0.824,0.112,0.007,0.96,24,3,2
Turkey,0.923,ROAD,1241.3,MEDIUM,10.065,1.385,0.138,11.257,31,2,2
Lamb,1.612,SEA,9272.6,MEDIUM,38.698,2.902,0.224,38.325,14,3,2
Polyester,0.748,SEA,18624.0,LOW,4.635,0.561,0.209,5.405,23,3,1
Polyester,0.082,ROAD,1798.5,LOW,0.51,0.062,0.018,0.633,23,2,1
Fish_Wild,0.63,ROAD,1918.9,LOW,1.827,0.252,0.145,2.378,12,2,1
Fish_Farmed,0.912,SEA,5611.6,LOW,4.651,0.41,0.077,5.376,11,3,1
Milk,4.783,SEA,6442.6,LOW,9.087,1.674,0.462,11.563,18,3,1
Lettuce,2.756,ROAD,2043.3,LOW,2.48,0.689,0.676,3.37,17,2,1
Beans,2.11,ROAD,724.2,LOW,2.11,0.633,0.183,2.715,3,2,1
Polyester,5.477,SEA,9183.1,MEDIUM,33.958,12.324,0.754,47.395,23,3,2
Fish_Farmed,3.46,AIR,4101.2,MEDIUM,17.644,4.671,13.479,37.972,11,0,2
Cheese,0.179,RAIL,4873.6,MEDIUM,2.418,0.269,0.022,2.867,6,1,2
Shrimp,0.052,RAIL,1044.4,MEDIUM,0.937,0.102,0.001,0.998,27,1,2
Chicken,6.621,ROAD,2555.2,LOW,45.688,3.311,2.03,48.935,7,2,1
Lettuce,3.529,ROAD,788.9,MEDIUM,3.176,2.647,0.334,7.1,17,2,2
Glass,7.038,ROAD,1751.9,LOW,6.334,4.223,1.479,12.36,13,2,1
Steel,1.639,ROAD,2317.2,MEDIUM,4.59,4.427,0.456,8.729,28,2,2
Wheat,0.194,RAIL,3789.1,MEDIUM,0.272,0.204,0.018,0.488,32,1,2
Oats,2.909,RAIL,4294.4,HIGH,4.655,7.128,0.312,12.051,20,1,0
Eggs,0.794,ROAD,1149.4,MEDIUM,3.809,1.071,0.109,4.787,10,2,2
Tomatoes,0.416,SEA,9429.4,MEDIUM,0.873,0.374,0.059,1.397,30,3,2
Fish_Wild,2.828,SEA,11296.7,LOW,8.203,1.131,0.479,10.686,12,3,1
Lentils,1.697,ROAD,2405.0,LOW,1.527,0.509,0.49,2.636,16,2,1
Fish_Farmed,1.79,ROAD,2032.5,LOW,9.127,0.805,0.436,10.157,11,2,1
Butter,1.003,AIR,12693.8,MEDIUM,12.031,1.353,12.09,25.576,5,0,2
Lettuce,0.861,RAIL,2394.9,MEDIUM,0.775,0.646,0.052,1.53,17,1,2
Potatoes,28.987,ROAD,2192.0,MEDIUM,14.493,21.74,7.625,47.901,25,2,2
Corn,1.45,ROAD,2244.9,MEDIUM,1.595,1.522,0.391,3.422,8,2,2
Nuts,0.653,SEA,7346.6,MEDIUM,1.502,0.686,0.072,2.447,19,3,2
Potatoes,13.716,ROAD,875.8,MEDIUM,6.858,10.287,1.441,18.963,25,2,2
Steel,0.335,SEA,10339.6,HIGH,0.939,2.114,0.052,3.391,28,3,0
Oats,1.24,AIR,8391.0,HIGH,1.984,3.038,9.885,16.302,20,0,0
Lettuce,20.816,AIR,14338.9,MEDIUM,18.735,15.612,283.558,309.983,17,0,2
Tomatoes,75.523,ROAD,1866.8,HIGH,158.599,158.599,16.918,335.522,30,2,0
Polyester,1.793,RAIL,2962.3,LOW,11.115,1.345,0.133,12.35,23,1,1
Lettuce,21.32,RAIL,2053.3,LOW,19.188,5.33,1.094,23.112,17,1,1
Wood,0.739,SEA,10658.9,LOW,0.369,0.296,0.118,0.749,33,3,1
Bananas,7.216,SEA,15224.2,LOW,5.051,1.804,1.648,7.954,2,3,1
Plastic,2.531,ROAD,2638.5,MEDIUM,8.857,6.073,0.801,15.186,22,2,2
Eggs,1.752,ROAD,1727.1,HIGH,8.411,5.52,0.363,14.647,10,2,0
Bananas,0.193,ROAD,1055.4,MEDIUM,0.135,0.145,0.024,0.286,2,2,2
Lamb,10.627,ROAD,354.2,HIGH,255.057,44.635,0.452,293.547,14,2,0
Cheese,0.88,RAIL,2068.2,MEDIUM,11.88,1.32,0.046,13.874,6,1,2
Milk,1.191,RAIL,4762.9,HIGH,2.263,2.918,0.142,5.159,18,1,0
Fish_Farmed,0.192,SEA,15087.8,MEDIUM,0.979,0.259,0.043,1.253,11,3,2
Tofu,1.093,RAIL,4876.4,MEDIUM,2.186,1.312,0.133,3.676,29,1,2
Steel,2.434,ROAD,2907.5,HIGH,6.814,15.332,0.849,24.922,28,2,0
Fish_Wild,0.98,ROAD,2133.4,LOW,2.843,0.392,0.251,3.521,12,2,1
Milk,5.887,RAIL,1336.1,HIGH,11.186,14.424,0.197,26.114,18,1,0
Beans,0.204,ROAD,1470.9,LOW,0.204,0.061,0.036,0.317,3,2,1
Rice,0.638,ROAD,798.4,LOW,2.55,0.255,0.061,2.698,26,2,1
Cheese,7.579,ROAD,2888.4,MEDIUM,102.315,11.368,2.627,120.793,6,2,2
Beans,1.092,RAIL,258.3,MEDIUM,1.092,0.983,0.007,2.13,3,1,2
Eggs,1.348,ROAD,272.5,HIGH,6.468,4.245,0.044,10.911,10,2,0
Chicken,0.562,ROAD,2750.0,MEDIUM,3.876,0.843,0.185,5.278,7,2,2
Fish_Farmed,1.443,ROAD,868.3,LOW,7.36,0.649,0.15,8.559,11,2,1
Nuts,0.325,SEA,10405.2,HIGH,0.748,0.797,0.051,1.551,19,3,0
Fish_Wild,0.76,ROAD,849.3,LOW,2.204,0.304,0.077,2.379,12,2,1
Bananas,4.016,ROAD,2801.5,MEDIUM,2.811,3.012,1.35,7.703,2,2,2
Steel,1.509,ROAD,2962.5,MEDIUM,4.226,4.075,0.537,8.713,28,2,2
Eggs,0.787,ROAD,1728.8,LOW,3.78,0.354,0.163,4.606,10,2,1
Apples,2.487,ROAD,2743.8,LOW,0.995,0.622,0.819,2.668,1,2,1
Wood,0.961,ROAD,431.0,HIGH,0.48,2.69,0.05,3.32,33,2,0
Pork,2.459,ROAD,188.3,MEDIUM,29.755,4.058,0.056,33.432,24,2,2
Nuts,0.05,ROAD,957.9,LOW,0.115,0.017,0.006,0.136,19,2,1
Steel,0.839,ROAD,2364.8,HIGH,2.348,5.284,0.238,8.869,28,2,0
Beef,0.98,AIR,6557.6,HIGH,26.455,4.115,6.104,36.047,4,0,0
Corn,0.581,ROAD,1665.0,LOW,0.64,0.203,0.116,0.965,8,2,1
Lentils,1.202,ROAD,2108.0,MEDIUM,1.082,1.082,0.304,2.534,16,2,2
Wood,1.62,SEA,11887.0,MEDIUM,0.81,1.944,0.289,3.164,33,3,2
Aluminum,0.138,ROAD,758.4,MEDIUM,1.131,0.517,0.013,1.654,0,2,2
Tofu,2.56,SEA,10185.0,MEDIUM,5.12,3.072,0.391,8.179,29,3,2
Wool,2.89,ROAD,710.4,LOW,30.058,2.023,0.246,32.352,34,2,1
Steel,0.355,AIR,9133.3,HIGH,0.993,2.235,3.078,5.896,28,0,0
Lamb,0.848,ROAD,2086.7,MEDIUM,20.362,1.527,0.212,20.778,14,2,2
Butter,4.58,ROAD,594.3,HIGH,54.956,14.426,0.327,67.546,5,2,0
Butter,4.147,ROAD,2175.5,MEDIUM,49.768,5.599,1.083,54.248,5,2,2
Chicken,4.666,ROAD,139.9,MEDIUM,32.193,6.998,0.078,40.194,7,2,2
Bananas,0.58,ROAD,587.7,LOW,0.406,0.145,0.041,0.585,2,2,1
Fish_Wild,0.759,SEA,18357.9,LOW,2.201,0.304,0.209,2.567,12,3,1
Leather,8.262,ROAD,1773.4,HIGH,140.461,57.837,1.758,186.976,15,2,0
Glass,9.731,SEA,10061.7,MEDIUM,8.758,17.516,1.469,30.497,13,3,2
Apples,1.627,SEA,19005.4,LOW,0.651,0.407,0.464,1.396,1,3,1
Eggs,0.951,SEA,7798.5,MEDIUM,4.567,1.285,0.111,5.776,10,3,2
Corn,1.748,ROAD,2948.0,HIGH,1.922,4.282,0.618,6.539,8,2,0
Aluminum,2.633,RAIL,4121.9,MEDIUM,21.594,9.876,0.271,31.607,0,1,2
Polyester,19.144,SEA,16542.4,LOW,118.692,14.358,4.75,148.96,23,3,1
Leather,2.306,SEA,6722.6,HIGH,39.21,16.145,0.233,47.969,15,3,0
Beef,1.3,ROAD,1139.2,MEDIUM,35.103,2.34,0.178,38.518,4,2,2
Steel,5.515,SEA,15222.5,HIGH,15.443,34.747,1.259,49.966,28,3,0
Beef,29.016,ROAD,364.8,HIGH,783.437,121.868,1.27,879.178,4,2,0
Chicken,0.896,RAIL,3663.7,LOW,6.181,0.448,0.082,6.294,7,1,1
Oats,2.472,SEA,7454.8,LOW,3.956,0.865,0.276,4.992,20,3,1
Steel,3.611,RAIL,1717.7,HIGH,10.112,22.751,0.155,30.887,28,1,0
Shrimp,1.221,SEA,11940.2,MEDIUM,21.982,2.381,0.219,26.181,27,3,2
Tofu,18.132,SEA,10872.2,LOW,36.263,7.253,2.957,42.803,29,3,1
Aluminum,2.01,SEA,7089.1,HIGH,16.484,17.589,0.214,35.262,0,3,0
Oats,12.769,ROAD,2993.2,LOW,20.43,4.469,4.586,29.437,20,2,1
Lettuce,5.281,SEA,8068.2,MEDIUM,4.753,3.961,0.639,9.69,17,3,2
Wood,11.829,SEA,13047.2,HIGH,5.914,33.12,2.315,41.269,33,3,0
Lentils,1.762,ROAD,1484.8,LOW,1.585,0.528,0.314,2.732,16,2,1
Polyester,1.704,ROAD,2162.7,LOW,10.562,1.278,0.442,12.199,23,2,1
Cheese,0.195,ROAD,2844.5,MEDIUM,2.633,0.293,0.067,3.216,6,2,2
Pork,4.671,ROAD,351.5,HIGH,56.522,17.984,0.197,71.205,24,2,0
Steel,2.139,SEA,13644.3,HIGH,5.989,13.474,0.438,20.341,28,3,0
Oats,0.777,SEA,17562.4,LOW,1.242,0.272,0.205,1.676,20,3,1
Turkey,0.814,SEA,17042.8,LOW,8.873,0.407,0.208,9.425,31,3,1
Nuts,0.489,ROAD,2763.6,MEDIUM,1.126,0.514,0.162,1.653,19,2,2
Plastic,7.57,ROAD,712.6,LOW,26.494,6.056,0.647,31.838,22,2,1
Lentils,0.393,AIR,6049.2,MEDIUM,0.354,0.354,2.26,3.009,16,0,2
Butter,0.736,ROAD,2927.8,LOW,8.828,0.331,0.258,9.109,5,2,1
Cheese,0.632,RAIL,2610.5,HIGH,8.531,2.212,0.041,10.696,6,1,0
Pork,0.321,ROAD,1080.7,MEDIUM,3.888,0.53,0.042,4.034,24,2,2
Oats,36.014,AIR,12081.9,HIGH,57.623,88.235,413.362,528.264,20,0,0
Polyester,0.261,ROAD,2307.8,LOW,1.621,0.196,0.072,2.153,23,2,1
Glass,0.305,ROAD,1255.8,HIGH,0.274,1.279,0.046,1.537,13,2,0
Wheat,7.147,SEA,7941.7,LOW,10.005,2.501,0.851,11.906,32,3,1
Glass,1.856,SEA,14791.2,HIGH,1.671,7.796,0.412,9.814,13,3,0
Glass,1.236,ROAD,2574.3,HIGH,1.112,5.19,0.382,6.558,13,2,0
Fish_Farmed,11.89,SEA,9397.2,MEDIUM,60.638,16.051,1.676,74.419,11,3,2
Plastic,8.464,ROAD,412.2,MEDIUM,29.623,20.313,0.419,52.293,22,2,2
Oats,4.997,ROAD,1058.4,MEDIUM,7.995,5.247,0.635,13.748,20,2,2
Polyester,1.11,ROAD,1068.3,MEDIUM,6.885,2.499,0.142,9.48,23,2,2
Paper,0.201,RAIL,3865.3,LOW,0.261,0.101,0.019,0.371,21,1,1
Wood,2.32,ROAD,587.2,MEDIUM,1.16,2.783,0.163,4.115,33,2,2
Fish_Wild,2.385,ROAD,810.8,LOW,6.918,0.954,0.232,7.411,12,2,1
Leather,6.194,ROAD,1612.5,HIGH,105.303,43.36,1.199,158.49,15,2,0
Apples,18.296,ROAD,658.9,LOW,7.318,4.574,1.447,13.818,1,2,1
Eggs,0.561,ROAD,789.7,LOW,2.691,0.252,0.053,2.861,10,2,1
Plastic,6.844,ROAD,2324.2,LOW,23.955,5.475,1.909,31.742,22,2,1
Polyester,3.069,AIR,9841.0,LOW,19.025,2.301,28.687,48.199,23,0,1
Eggs,1.259,RAIL,3663.4,HIGH,6.041,3.965,0.115,10.732,10,1,0
Apples,3.077,SEA,12256.3,LOW,1.231,0.769,0.566,2.55,1,3,1
Cheese,2.317,ROAD,2867.9,MEDIUM,31.279,3.475,0.797,35.053,6,2,2
Paper,1.08,AIR,11466.5,LOW,1.405,0.54,11.77,13.881,21,0,1
Beans,3.855,ROAD,2099.4,LOW,3.855,1.156,0.971,5.814,3,2,1
Apples,1.14,ROAD,2888.2,MEDIUM,0.456,0.855,0.395,1.649,1,2,2
Lamb,5.915,ROAD,2429.4,HIGH,141.959,24.843,1.724,169.534,14,2,0
Fish_Farmed,0.956,ROAD,702.6,MEDIUM,4.878,1.291,0.081,6.448,11,2,2
